TERM,COURSE,ENRL,MEDIAN
16F,AAAS-010-01,25,A-
16F,AAAS-026-01,19,A
16F,AAAS-044-01,57,A
16F,AAAS-050-01,17,A-
16F,AAAS-051-01,14,A
16F,AAAS-80.06-01,26,A-
16F,AAAS-80.07-01,46,A-
16F,AAAS-87.05-01,35,A-
16F,AAAS-87.09-01,10,A /A-
16F,AMEL-017-01,16,A-
16F,AMES-010-01,57,B
16F,AMES-030-01,37,A-
16F,AMES-40.05-01,15,A-
16F,AMES-40.06-01,39,A-
16F,AMES-40.07-01,16,A-
16F,AMES-41.10-01,22,A-/B+
16F,AMES-41.12-01,11,A
16F,ANTH-001-01,62,B
16F,ANTH-006-01,69,B+
16F,ANTH-009-01,29,A
16F,ANTH-011-01,52,B+
16F,ANTH-013-01,30,B+
16F,ANTH-018-01,10,A /A-
16F,ANTH-036-01,57,A
16F,ANTH-037-01,14,A-/B+
16F,ANTH-043-01,12,A /A-
16F,ANTH-070-01,15,A
16F,ANTH-073-01,24,A-
16F,ANTH-12.14-01,10,A /A-
16F,ANTH-50.03-01,10,A /A-
16F,ARAB-001-01,18,A
16F,ARAB-001-02,16,A
16F,ARAB-021-01,10,A /A-
16F,ARAB-031-01,11,A
16F,ARTH-001-01,39,A-
16F,ARTH-062-01,39,A-
16F,ARTH-070-01,15,A-
16F,ARTH-16.22-01,22,A-/B+
16F,ARTH-16.24-01,36,B+
16F,ASTR-002-01,55,A-
16F,ASTR-003-01,29,B+
16F,BIOL-002-01,100,B+
16F,BIOL-012-01,58,B
16F,BIOL-012-02,50,B
16F,BIOL-014-01,68,B
16F,BIOL-016-01,17,B
16F,BIOL-025-01,25,B
16F,BIOL-027-01,12,A-
16F,BIOL-040-01,73,B
16F,BIOL-046-01,24,B+
16F,BIOL-068-01,12,A-
16F,BIOL-070-01,10,A
16F,BIOL-076-01,13,A
16F,BIOL-11.07-01,44,B
16F,BIOL-176-01,13,A
16F,CHEM-005-01,93,B
16F,CHEM-006-01,29,B+
16F,CHEM-010-01,24,A /A-
16F,CHEM-051-01,51,B
16F,CHEM-093-01,12,A-
16F,CHEM-151-01,12,A-
16F,CHIN-001-01,12,A-
16F,CHIN-001-02,13,A-
16F,CHIN-004-01,15,A-
16F,CHIN-004-03,18,A-
16F,CHIN-022-90,10,A /A-
16F,CHIN-023-90,10,A /A-
16F,CHIN-031-01,19,B+
16F,CHIN-031-90,10,A-
