TERM,COURSE,ENRL,MEDIAN
17S,AAAS-012-01,16,A/A-
17S,AAAS-013-01,17,B
17S,AAAS-023-01,29,B
17S,AAAS-031-01,21,A
17S,AAAS-040-01,10,A-
17S,AAAS-062-01,17,A-
17S,AAAS-07.02-01,16,A-
17S,AAAS-39.02-01,30,A
17S,AAAS-82.05-01,14,A
17S,AAAS-87.10-01,26,A-
17S,AMES-004-01,35,A-
17S,AMES-012-01,47,A
17S,AMES-013-01,49,A
17S,AMES-015-01,33,A-
17S,AMES-024-01,31,A
17S,AMES-07.02-01,16,A-
17S,AMES-21.03-01,21,A
17S,AMES-21.05-01,10,A-/B+
17S,AMES-21.12-01,10,A/A-
17S,AMES-40.04-01,33,A-
17S,AMES-41.13-01,18,A-
17S,ANTH-003-01,56,A
17S,ANTH-004-01,39,B+
17S,ANTH-005-01,41,B
17S,ANTH-014-01,27,A-
17S,ANTH-020-01,55,B
17S,ANTH-022-01,15,A
17S,ANTH-031-01,31,A
17S,ANTH-034-01,24,A
17S,ANTH-039-01,24,A-/B+
17S,ANTH-040-01,13,A
17S,ANTH-041-01,20,A-
17S,ANTH-062-01,34,A-
17S,ANTH-065-01,12,A/A-
17S,ANTH-076-01,10,A/A-
17S,ANTH-12.10-01,18,A-
17S,ANTH-12.22-01,14,A
17S,ANTH-50.05-01,10,A/A-
17S,ARAB-003-01,10,A
17S,ARAB-003-02,13,A
17S,ARAB-010-01,35,A-
17S,ARTH-010-90,11,A
17S,ARTH-011-90,11,A-
17S,ARTH-012-90,11,A-
17S,ARTH-050-01,36,A-
17S,ARTH-052-01,26,B+
17S,ARTH-059-01,27,B+
17S,ARTH-064-01,13,A-
17S,ARTH-07.10-01,16,A-
17S,ARTH-16.25-01,10,A/A-
17S,ARTH-17.16-01,24,A
17S,ASTR-001-01,120,B+
17S,ASTR-019-01,43,B+
17S,BIOL-012-01,78,B
17S,BIOL-016-01,37,B
17S,BIOL-033-01,26,A-
17S,BIOL-037-01,31,B+
17S,BIOL-049-01,37,B
17S,BIOL-063-01,16,A
17S,BIOL-066-01,27,A-
17S,BIOL-069-01,16,A-
17S,BIOL-07.02-01,16,A
17S,BIOL-11.08-01,18,B+
17S,CHEM-006-01,44,B
17S,CHEM-006-02,135,B
17S,CHEM-041-01,46,B+
17S,CHEM-051-01,43,B
17S,CHEM-058-01,14,A-/B+
17S,CHEM-076-01,10,A-
17S,CHIN-003-01,12,A-
17S,CHIN-003-02,15,A
17S,CHIN-010-01,47,A
17S,CHIN-63.06-01,21,A-
17S,CLST-002-01,24,A
17S,CLST-025-01,18,A-/B+
17S,CLST-030-90,11,A
17S,CLST-030-91,11,A-
17S,CLST-031-90,11,A
17S,CLST-07.06-01,15,A
17S,CLST-11.11-01,23,B+
17S,CLST-11.12-01,11,B
17S,CLST-12.02-01,22,A-
17S,COCO-006-01,11,A-
17S,COCO-018-01,28,A
17S,COCO-03.01-01,14,A
17S,COGS-001-01,38,B+
17S,COGS-026-01,34,A
17S,COLT-07.13-01,16,A
17S,COLT-10.16-01,11,A
17S,COLT-49.05-01,12,A-
17S,COLT-57.05-01,26,A-
17S,COLT-64.03-01,23,B+
17S,COLT-65.03-01,12,A-
17S,COSC-001-01,116,B
17S,COSC-010-01,77,B+
17S,COSC-024-01,16,B+
17S,COSC-027-01,12,A
17S,COSC-031-01,27,B
17S,COSC-050-01,65,A-
17S,COSC-051-01,36,A-
17S,COSC-052-01,54,A/A-
17S,COSC-056-01,53,A-
17S,COSC-060-01,18,A
17S,COSC-061-01,67,A-
17S,COSC-067-01,25,A-
17S,COSC-086-01,14,B+
17S,COSC-098-01,34,A
17S,EARS-001-01,38,B+
17S,EARS-003-01,127,B+
17S,EARS-019-01,43,B+
17S,EARS-035-01,17,A-
17S,EARS-038-01,21,A-
17S,ECON-001-01,72,B-
17S,ECON-001-02,72,B-
17S,ECON-001-03,71,B
17S,ECON-001-04,71,B
17S,ECON-010-01,48,B+/B
17S,ECON-010-02,48,B+/B
17S,ECON-015-01,20,A
17S,ECON-020-01,40,B+
17S,ECON-020-02,40,B+
17S,ECON-021-01,47,B+
17S,ECON-021-02,47,B+
17S,ECON-021-03,64,B+
17S,ECON-021-04,64,B+
17S,ECON-022-01,35,B+
17S,ECON-022-02,35,B+
17S,ECON-022-03,53,B+
17S,ECON-022-04,53,B+
17S,ECON-024-01,59,B+
17S,ECON-024-02,59,B+
17S,ECON-026-01,35,B+
17S,ECON-026-02,35,B+
17S,ECON-029-01,51,B+
17S,ECON-029-02,51,B+
17S,ECON-036-01,58,B+
17S,ECON-036-02,58,B+
17S,ECON-038-01,35,B+
17S,ECON-039-01,54,A-
17S,ECON-039-02,54,A-
17S,ECON-045-01,21,A-
17S,ECON-045-02,21,A-
17S,ECON-046-01,32,A-
17S,ECON-046-02,32,A-
17S,ECON-049-01,19,A-
17S,ECON-049-02,19,A-
17S,ECON-049-03,23,A-
17S,ECON-049-04,23,A-
17S,EDUC-001-01,50,B+
17S,EDUC-029-01,36,A-
17S,EDUC-057-01,35,B+
17S,EDUC-07.02-01,13,B
17S,ENGL-003-01,16,A-
17S,ENGL-006-01,17,A
17S,ENGL-015-01,16,A
17S,ENGL-022-01,14,A
17S,ENGL-032-01,48,B+
17S,ENGL-034-01,97,A-
17S,ENGL-037-01,50,A-
17S,ENGL-07.01-01,16,A
17S,ENGL-07.03-01,16,A-
17S,ENGL-07.11-01,15,A-
17S,ENGL-080-01,12,A-
17S,ENGL-082-01,11,A
17S,ENGL-52.03-01,14,A
17S,ENGL-54.03-01,27,B+
17S,ENGL-63.04-01,18,A-
17S,ENGL-63.06-01,25,A-
17S,ENGL-72.02-01,12,A-
17S,ENGL-73.17-01,11,A
17S,ENGL-74.02-01,10,A-
17S,ENGS-005-01,65,B
17S,ENGS-008-01,24,A-
17S,ENGS-012-01,32,A
17S,ENGS-020-01,43,B+
17S,ENGS-020-02,45,B+
17S,ENGS-021-01,62,A
17S,ENGS-022-01,49,B+
17S,ENGS-023-01,12,B
17S,ENGS-024-01,51,B+
17S,ENGS-025-01,43,B
17S,ENGS-026-01,19,B
17S,ENGS-030-01,17,A-
17S,ENGS-031-01,53,A-
17S,ENGS-044-01,20,A
17S,ENGS-056-01,26,B+
17S,ENGS-07.05-01,16,B+
17S,ENGS-07.06-01,15,A-
17S,ENGS-071-01,26,A-
17S,ENGS-088-01,14,A
17S,ENGS-128-01,17,A
17S,ENGS-146-01,12,A-
17S,ENGS-165-01,10,A-
17S,ENVS-012-01,45,B+
17S,ENVS-015-01,51,A-
17S,ENVS-019-01,19,A-
17S,ENVS-020-01,24,B+
17S,ENVS-030-01,27,A-
17S,ENVS-050-01,24,A
17S,ENVS-056-01,16,B+/B
17S,ENVS-061-01,17,A
17S,ENVS-07.04-01,15,A-
17S,ENVS-07.11-01,16,A-
17S,ENVS-079-01,17,A-
17S,ENVS-80.02-01,14,A
17S,FILM-023-01,25,A-
17S,FILM-034-01,11,A-
17S,FILM-037-01,12,A
17S,FILM-045-01,27,A-
17S,FILM-051-01,14,A
17S,FILM-07.16-01,15,A-
17S,FILM-42.08-01,33,A-
17S,FILM-44.01-01,11,B+
17S,FILM-47.07-01,26,A-
17S,FREN-002-01,11,A-
17S,FREN-002-02,10,B+
17S,FREN-003-01,18,A-
17S,FREN-003-02,13,A-
17S,FREN-003-03,21,A-
17S,FREN-008-01,16,A-
17S,FREN-022-01,13,B+
17S,FREN-45.04-01,13,A-
17S,GEOG-001-01,45,B+
