TERM,COURSE,ENRL,MEDIAN
17W,AAAS-016-01,16,A
17W,AAAS-061-01,33,A-
17W,AAAS-81.06-01,26,A-
17W,AAAS-90.01-01,14,A-
17W,AMEL-07.01-01,15,A-
17W,AMES-009-01,57,A-
17W,AMES-011-01,32,A-
17W,AMES-026-01,31,B+
17W,AMES-027-90,20,A-
17W,AMES-028-90,20,A
17W,AMES-029-90,20,A
17W,AMES-030-01,36,A-
17W,AMES-21.04-01,20,A-
17W,AMES-40.09-01,28,A-
17W,AMES-91.02-01,13,A-
17W,ANTH-017-01,36,A-/B+
17W,ANTH-021-01,39,B+
17W,ANTH-032-01,31,B+
17W,ANTH-048-01,38,B
17W,ANTH-051-90,19,A
17W,ANTH-052-90,14,A
17W,ANTH-054-90,14,A
17W,ANTH-057-01,13,A-
17W,ANTH-066-01,12,A-
17W,ANTH-07.02-01,16,A-/B+
17W,ANTH-12.04-01,30,A
17W,ANTH-12.18-01,36,A-
17W,ANTH-12.19-01,16,A
17W,ANTH-50.17-01,25,A-
17W,ARAB-002-03,17,A
17W,ARTH-002-01,27,A-
17W,ARTH-020-01,11,A-
17W,ARTH-042-01,10,B+
17W,ARTH-063-01,11,A-
17W,ARTH-07.02-01,16,A-
17W,ARTH-16.20-01,31,A-
17W,ARTH-17.08-01,13,A-
17W,ASTR-015-90,13,A
17W,ASTR-061-90,13,A-
17W,BIOL-013-01,18,B+/B
17W,BIOL-013-02,63,B
17W,BIOL-014-01,55,B
17W,BIOL-015-01,11,B+
17W,BIOL-028-01,13,B+
17W,BIOL-029-01,21,A-
17W,BIOL-040-01,32,B
17W,BIOL-042-01,28,A-
17W,BIOL-045-01,22,B+
17W,BIOL-055-90,14,A-
17W,BIOL-056-90,14,A-
17W,BIOL-057-90,14,A-
17W,BIOL-07.11-01,16,A-
17W,BIOL-078-01,30,A-
17W,BIOL-11.03-01,53,B
17W,CHEM-005-01,75,B
17W,CHEM-005-02,119,B
17W,CHEM-052-01,47,B
17W,CHEM-057-01,18,A-/B+
17W,CHEM-064-01,26,B+
17W,CHEM-07.01-01,15,A
17W,CHEM-075-01,23,B+
17W,CHIN-002-02,15,A-
17W,CHIN-032-01,13,A-
17W,CLST-017-01,29,B+
17W,CLST-022-01,19,A-
17W,COLT-07.15-01,16,A-/B+
17W,COLT-18.02-01,10,A
17W,COLT-19.01-01,13,A
17W,COLT-42.01-01,138,A
17W,COLT-56.01-01,11,A-
17W,COSC-001-01,121,A-
17W,COSC-010-01,102,B+
17W,COSC-022-01,16,A
17W,COSC-030-01,30,B
17W,COSC-031-01,70,B+
17W,COSC-050-01,41,A-
17W,COSC-065-01,26,A-
17W,COSC-074-01,37,B+
17W,COSC-075-01,26,A-
17W,COSC-078-01,19,B
17W,COSC-098-01,43,A
17W,COSC-098-02,34,A
17W,COSC-099-01,16,A
17W,EARS-002-01,125,B+
17W,EARS-009-01,112,B+
17W,EARS-015-01,19,A-
17W,EARS-028-01,13,B+
17W,EARS-066-01,16,B+
17W,EARS-07.06-01,16,A
17W,EARS-077-01,17,A
17W,EARS-166-01,16,B+
17W,ECON-001-01,28,B
17W,ECON-001-02,28,B
17W,ECON-001-03,85,B+
17W,ECON-001-04,85,B+
17W,ECON-010-01,33,B
17W,ECON-010-02,33,B
17W,ECON-020-01,47,B
17W,ECON-020-02,47,B
17W,ECON-021-01,53,B
17W,ECON-021-02,53,B
17W,ECON-022-01,52,B+
17W,ECON-022-02,52,B+
17W,ECON-022-03,63,B+
17W,ECON-022-04,63,B+
17W,ECON-025-01,46,A-/B+
17W,ECON-025-02,46,A-/B+
17W,ECON-026-01,36,A-
17W,ECON-026-02,36,A-
17W,ECON-028-01,23,B+
17W,ECON-029-01,48,B+
17W,ECON-029-02,48,B+
17W,ECON-032-01,24,A-
17W,ECON-032-02,24,A-
17W,ECON-036-01,26,A-
17W,ECON-036-02,26,A-
17W,ECON-039-01,29,B+
17W,ECON-039-02,29,B+
17W,ECON-044-01,24,A-
17W,ECON-044-02,24,A-
17W,ECON-046-01,35,A-
17W,ECON-046-02,35,A-
17W,ECON-046-03,35,A-
17W,ECON-048-01,31,A-
17W,ECON-048-02,31,A-
17W,ECON-049-01,26,A-
17W,ECON-049-02,26,A-
17W,ECON-071-01,10,A-
17W,ECON-077-01,20,A-/B+
17W,ECON-077-02,20,A-/B+
17W,ECON-079-01,23,A-
17W,ECON-079-02,23,A-
17W,EDUC-024-01,25,A-
17W,EDUC-058-01,23,B+
17W,EDUC-064-01,20,B+
17W,ENGL-002-01,31,A-
17W,ENGL-010-01,12,A-
17W,ENGL-023-01,11,A-
17W,ENGL-029-01,11,B+
17W,ENGL-036-01,14,A-
17W,ENGL-045-01,13,A-
17W,ENGL-07.03-01,16,B+
17W,ENGL-07.36-01,16,B+
17W,ENGL-07.42-01,16,A-
17W,ENGL-082-01,10,A
17W,ENGL-083-02,11,A
17W,ENGL-53.19-01,10,B+
17W,ENGL-54.13-01,23,B+
17W,ENGL-55.01-01,15,B+
17W,ENGL-65.01-01,12,A
17W,ENGS-001-01,12,B
17W,ENGS-002-01,54,A-
17W,ENGS-011-01,31,A-
17W,ENGS-012-01,30,A
17W,ENGS-016-01,23,A-
17W,ENGS-018-01,29,A-
17W,ENGS-020-01,31,B+
17W,ENGS-021-01,71,A-
17W,ENGS-022-01,29,A-
17W,ENGS-023-01,49,B
17W,ENGS-024-01,24,B+
17W,ENGS-032-01,27,B
17W,ENGS-033-01,34,B+
17W,ENGS-034-01,16,B+
17W,ENGS-052-01,10,A-
17W,ENGS-058-01,13,A-
17W,ENGS-062-01,18,A
17W,ENGS-066-01,30,B
17W,ENGS-069-01,26,A-
17W,ENGS-07.02-01,14,A/A-
17W,ENGS-075-01,15,A-
17W,ENGS-090-01,34,A-
17W,ENGS-093-01,24,A-
17W,ENGS-171-01,12,A-
17W,ENVS-002-01,65,B+
17W,ENVS-010-01,18,B+
17W,ENVS-011-01,20,A-
17W,ENVS-028-01,27,B
17W,ENVS-055-01,39,B+
17W,ENVS-065-01,25,B+
17W,ENVS-07.02-01,16,B+
17W,ENVS-07.03-01,16,A-
17W,ENVS-80.08-01,15,A
17W,FILM-022-01,30,B+
17W,FILM-033-01,13,A-
17W,FILM-040-01,15,B+
17W,FILM-07.15-01,16,A-
17W,FILM-36.03-01,15,A
17W,FILM-42.13-01,11,B+
17W,FILM-46.01-01,30,B+
